Citation Key              | Pages           | Title
------------------------------------------------------------------------------------------------------------------------
Al2018Factors             | 73--78          | Factors Influencing Cloud-Computing Adoption in Small and Medium E-Commerce...
Alqahtani2024ACCM         | Pages not found | ACCM-SME: A new theoretical framework for adopting cloud computing model fo...
Alshazly2020Conceptual    | 1--5            | A Conceptual View for an Enhanced Cloud Software Life-Cycle Process (CSLCP)...
Balashova2022Cloud        | Pages not found | Cloud computing: global trends and challenges for Russia in the time of san...
Diaz2024Navigating        | 5946            | Navigating Digital Transformation and Technology Adoption: A Literature Rev...
Empl2021Flexible          | 23--32          | A Flexible Security Analytics Service for the Industrial IoT
Gibreel2023Factors        | 8--14           | Factors Related to Information Sharing and Cloud Computing Adoption in SMEs...
Holler2025Factors         | Pages not found | Factors Influencing Cloud Computing Adoption in Small and Medium-Sized Ente...
Huy2023Big                | Pages not found | Big data in relation with business intelligence capabilities and e-commerce...
JamesBalancing            | Pages not found | Balancing Innovation and Risk: Cybersecurity Challenges in SME Cloud Adopti...
Matias2019Cloud           | 612--633        | Cloud Computing Adoption Intention by MSMEs in the Philippines
Mettouris2022CloudRecoMan | 110--117        | CloudRecoMan: Cloud adoption made easy
Milhem2025integrated      | Pages not found | An integrated adoption model of cloud computing-based human resource manage...
Misra2022Factors          | 1639--1660      | Factors impacting behavioural intentions to adopt the electronic marketplac...
Narwane2020Mediating      | 69--98          | Mediating role of cloud of things in improving performance of small and med...
Nikolic2025FIT4HPC        | Pages not found | FIT4HPC?---Accelerating digital transformation by supercomputing opportunit...
Owusu2020Determinants     | 48--69          | Determinants of Cloud Business Intelligence Adoption Among Ghanaian SMEs
P2016Point                | 151--155        | Point of sales application based on cloud computing adoption for indonesian...
Pruzan2015Monitoring      | Pages not found | Monitoring of information security incidents in the cloud computing at smal...
Reffad2016Cloud           | 181--188        | Cloud-based semantic platform for dynamic management of context-aware mobil...
Sayginer2021Multi         | 141--153        | Multi-Perspective Decision-making Cloud Computing Adoption Model for Small ...
Shetty2021overview        | 175--188        | An overview of cloud computing in SMEs
Skafi2020Factors          | 79169--79181    | Factors Influencing SMEs' Adoption of Cloud Computing Services in Lebanon: ...
Tselios2022Improving      | 1--8            | Improving Network, Data and Application Security for SMEs
Wilson2015Enablers        | 140--145        | Enablers and Barriers of Cloud Adoption among Small and Medium Enterprises ...
Yuwono2024Information     | Pages not found | Information and communication technology in SMEs: a systematic literature r...
------------------------------------------------------------------------------------------------------------------------
